method,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
lr_adapt_proxy,36,-18.87208878679077,0.505,0.495,0.5833333333333334,35,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
lr_adapt_proxy,36,-15.146783226973717,0.49027777777777776,0.5097222222222223,0.5833333333333334,30,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
lr_adapt_proxy,36,-20.696409056762793,0.5219444444444443,0.47805555555555557,0.5833333333333334,32,2.128820867338844e-17,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
lr_adapt_proxy,36,-7.010586499624814,0.4888888888888888,0.5111111111111111,0.5555555555555556,33,2.07619330169417e-17,thresholds_0.05_0.2,snr_thresholds,True,0.2,0.2,0.05,1.03,0.9,0.1,10.0
lr_adapt_proxy,36,-18.141109603508557,0.5216666666666668,0.4783333333333333,0.5833333333333334,36,2.4836243452286515e-17,thresholds_0.12_0.3,snr_thresholds,True,0.2,0.3,0.12,1.03,0.9,0.1,10.0
lr_adapt_proxy,36,-19.43905436166877,0.48444444444444446,0.5155555555555557,0.5833333333333334,33,2.2613726850078315e-17,sigma_factors_0.85_1.05,sigma_factors,True,0.2,0.25,0.08,1.05,0.85,0.1,10.0
lr_adapt_proxy,36,-2.744581747774073,0.4952777777777777,0.5047222222222223,0.5,33,2.475618080475805e-17,sigma_factors_0.95_1.02,sigma_factors,True,0.2,0.25,0.08,1.02,0.95,0.1,10.0
lr_adapt_proxy,36,-42.053864412274585,0.6116666666666666,0.38833333333333336,0.6388888888888888,30,1.6814459908432102e-17,sigma_clamp_0.05_20.0,sigma_clamp,True,0.2,0.25,0.08,1.03,0.9,0.05,20.0
lr_adapt_proxy,36,5.806193522986625,0.2986111111111111,0.7013888888888888,0.16666666666666666,31,1.558623938038364e-17,sigma_clamp_0.2_5.0,sigma_clamp,True,0.2,0.25,0.08,1.03,0.9,0.2,5.0
